Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2514,Maize,2021,2021,1000 t,127,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2516,Oats,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2517,Millet,2021,2021,1000 t,9,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2518,Sorghum,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2520,Cereals,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2532,Cassava,2021,2021,1000 t,9,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2531,Potatoes,2021,2021,1000 t,8237,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,258,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2511,Wheat,2021,2021,1000 t,21,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2807,Rice,2021,2021,1000 t,6,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2513,Barley,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2514,Maize,2021,2021,1000 t,4,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2516,Oats,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2520,Cereals,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2532,Cassava,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2531,Potatoes,2021,2021,1000 t,15,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),52,Barbados,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2511,Wheat,2021,2021,1000 t,661,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2807,Rice,2021,2021,1000 t,45,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2513,Barley,2021,2021,1000 t,57,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2514,Maize,2021,2021,1000 t,8,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2515,Rye,2021,2021,1000 t,128,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2516,Oats,2021,2021,1000 t,67,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2520,Cereals,2021,2021,1000 t,19,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2531,Potatoes,2021,2021,1000 t,1489,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),112,Belarus,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2511,Wheat,2021,2021,1000 t,1014,I,Imputed value
FBS,Food Balances (2010-),56,Belgium,5142,Food,S2807,Rice,2021,2021,1000 t,19,I,Imputed value
